Player_Name,Batting_Hand,Bowling_Skill,Country
A Ashish Reddy,Right_Hand,Right-arm medium,India
A Chandila,Right_Hand,Right-arm offbreak,India
A Chopra,Right_Hand,Right-arm offbreak,India
A Choudhary,Right_Hand,Left-arm fast-medium,India
A Dananjaya,Right_Hand,Right-arm offbreak,India
A Flintoff,Right_Hand,Right-arm fast-medium,England
A Hales,Right_Hand,Right-arm medium,India
A Joseph,Right_Hand,Right-arm fast,India
A Kumble,Right_Hand,Legbreak googly,India
A Mishra,Right_Hand,Legbreak,India
A Mithun,Right_Hand,Right-arm medium,India
A Mukund,Right_Hand,Legbreak googly,India
A Nehra,Right_Hand,Left-arm medium-fast,India
A Nel,Right_Hand,Right-arm fast-medium,South Africa
A Roy,Left_Hand,Slow left-arm orthodox,India
A Singh,Right_Hand,Right-arm medium-fast,India
A Symonds,Right_Hand,Right-arm offbreak,Australia
A Turner,Right_Hand,Right-arm medium,India
A Uniyal,Right_Hand,Left-arm medium,India
A Zampa,Right_Hand,Legbreak googly,Australia
AA Bilakhia,Right_Hand,Right-arm medium,India
AA Chavan,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,Right_Hand,Right-arm offbreak,India
AA Kazi,Right_Hand,Slow left-arm orthodox,India
AA Noffke,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,Right_Hand,Right-arm fast,India
AB Barath,Left_Hand,Right-arm offbreak,India
AB de Villiers,Right_Hand,Right-arm medium,South Africa
AB Dinda,Right_Hand,Right-arm medium-fast,India
AB McDonald,Right_Hand,Right-arm fast-medium,Australia
Abdur Razzak,Left_Hand,Slow left-arm orthodox,Bangladesh
AC Blizzard,Left_Hand,Left-arm medium,Australia
AC Gilchrist,Left_Hand,Right-arm offbreak,Australia
AC Thomas,Right_Hand,Right-arm fast-medium,England
AC Voges,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,Right_Hand,Right-arm fast-medium,England
AD Mathews,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Nath,Right_Hand,Right-arm medium-fast,India
AD Russell,Right_Hand,Right-arm fast,West Indies
AF Milne,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,Right_Hand,Right-arm medium,India
AJ Finch,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,Right_Hand,Right-arm fast-medium,India
AL Menaria,Left_Hand,Slow left-arm orthodox,India
AM Nayar,Left_Hand,Right-arm medium,India
AM Rahane,Right_Hand,Right-arm medium,India
AM Salvi,Right_Hand,Right-arm medium,India
AN Ahmed,Right_Hand,Right-arm medium-fast,India
AN Ghosh,Right_Hand,Right-arm medium,India
